Category,Stakeholder,Product,Question,Answer
Digital Services,Digital Factory,My Term Deposit,My Term Deposit:,"My Term Deposit is a service on Warba App allows you to open new flexible or fixed deposits:
To Open new Deposit you can follow the steps below:
1.	Open Warba Online App
2.	Choose open new 
3.	Choose Fixed or Flexible Deposit 
4.	Accept Terms & Conditions 
5.	Choose the deposit account 
6.	Choose the duration for the deposit 
7.	Choose your profit method
8.	Choose the account for deposit profit 
9.	Choose if you want it auto renewal or not 
10.	Enter the amount 
11.	Get your expect profit rate
12.	Confirm the transaction with your Warba app password"
Digital Services,Digital Factory,My Financing,My Financing:,My Financing is a service on Warba App that allows you to open for Cash Backed Finance
Digital Services,Digital Factory,Services Tab on Warba App,Services Page:,"The  services page allows the customer to choose all the service in the Warba App:
Favorite Services: Allows you to choose your favorite services that will be on the top of the page for you to use it faster.

you can find the following services on the services page:
1.Transfer & Pay: In this page you can see all the transfers services like:
-Transfer money 
-Super Transfer 
-Western Union
-Pay Me 
-Mobile Payment
-Top Up Cards 
-Tabaruat
-Standing Orders 

2.Buy : This service allow you to buy an online vouchers like apple gift cards, google play cards, PlayStation cards, and more.

3.Partners: This tab allows you to check all Warba Partners offers for Warba Customers:
-Super Transfer (MasterCard Send)
-Western Union
-Warba Auto 
-Oasis Club
-Postshipper

4.Request: This tab allows to request of the following warba services:
-Warba Concierge 
-Clearance Certificate 
-Travel Note
-Clearing Company "
Digital Services,Digital Factory,Transfer & Pay,Transfer Service:,"Transfer : This service allows you to transfer money between your own accounts, Warba Transfers, Local transfers or Intranational Transfers
Steps :
1.	Open Warba Online App
2.	Go to Services 
3.	Choose Transfer 
4.	Select the Beneficiary
5.	Choose the amount
6.	Choose the purpose of the transfer
7.	Accept terms & conditions
8.	Confirm the transaction with your Warba App password"
Digital Services,Digital Factory,Mobile Bill Payments,One-time mobile payment :,"One-time mobile payment  : This service allows you to pay your mobile bill and save your all mobile numbers you have 
Steps:
1.	Open Warba Online App
2.	Go to Services 
3.	Choose Mobile Payment  
4.	Select one time payment 
5.	Choose the telecom company 
6.	Choose the service 
7.	Enter the mobile number 
8.	Choose the account number you want to pay with
9.	Enter a description
10.	Confirm the transaction with your Warba app password "
Accounts,P&S,Sunbula Account,Sunbula Profit Rate:,Sunbula Profit Rate is 0.01%
Digital Services,Digital Factory,Transfer & Pay,Top-up cards:,"Top up cards  : This service allow you to Top Up your Credit Card from your account 
Steps:
1.	Open Warba Online App
2.	Go to Services 
3.	Choose Top Up cards  
4.	Select the card you want to top up
5.	Choose the account you like to pay from
6.	Choose the amount
7.	Confirm the transaction with your Warba app password"
Digital Services,Digital Factory,Transfer & Pay,Tabaruat:,"Tabaruat : This service allow you to send money to the charity you choose   
Steps:
1.	Open Warba Online App
2.	Go to Services 
3.	Choose Tabaruat
4.	Select the Charity
5.	Select the purpose of your donation
6.	Choose which account would you like to donate from
7.	Choose the amount
8.	Optional reference
9.	Confirm the transaction with your Warba app password"
Digital Services,Digital Factory,Transfer & Pay,Kuwait Food Bank:,"Kuwait food Bank : This service allow you to transfer money to Kuwait food Bank
Steps:
1.	Open Warba Online App
2.	Go to Services 
3.	Choose Kuwait food bank
4.	Select the % for the donation of your cash back
5.	Accept the terms and condition 
6.	Confirm the transaction with your Warba app password"
Digital Services,Digital Factory,Transfer & Pay,Standing Orders:,"Standing Orders : This service allow you to make Standing Order between your accounts or any account 
Steps:
1.	Open Warba Online App
2.	Go to Services 
3.	Choose Standing Order 
4.	Choose the Standing Order type 
5.	Select Beneficiary
6.	Choose which account would you like to send from
7.	Choose the amount
8.	How do like to transfer (Daily / Monthly / yearly)
9.	Select the Starting Date 
10.	Select the End Date 
11.	Choose the purpose of the transfer 
12.	Add a Description 
13.	Accept Terms & Conditions 
14.	Confirm the transaction with your Warba app password"
Digital Services,Digital Factory,Buy Services,Buy online vouchers:,"Buy : This service allow you to buy an online Voucher 
•	Apple Gift Card
•	Google Play Gift 
•	PlayStation Store
•	PlayStation Plus
•	XBOX Gift Card
•	XBOX Live
•	Nintendo eShop
•	GCC Telecom
•	Vouchers History   

Steps to buy Apple Card:
1.	Open Warba Online App
2.	Go to buy
3.	Choose the online voucher you want to buy  
4.	Select the card you want and the amounts for the card 
5.	Choose which account you will pay from
6.	Add a description 
7.	Confirm the transaction with your Warba App password"
Digital Services,Digital Factory,Partners Tab,Warba Auto:,"Warba Auto : This service allow you to get a deal with the brand you want Steps:
1.	Open Warba Online App
2.	Go to Services then Partners 
3.	Choose Warba Auto By
4.	Select car finder 
5.	Choose the brand you want and the model 
6.	Choose finance this car"
Digital Services,Digital Factory,Partners Tab,Oasis Club Airmiles:,"Oasis club : This service allow you to transfer your pocket point to oasis miles  
Steps:
1.	Open Warba Online App
2.	Go to Services then partners 
3.	Choose Oasis club
4.	Choose the miles you want to exchange
5.	Accept Terms & Conditions
6.	Choose exchange points to miles
7.	Confirm the transaction with your Warba App password "
Digital Services,Digital Factory,Partners Tab,Postshipper Service:,"Postshipper : This service will allow you to order from out of Kuwait and you will have an address in Kuwait to deliver the order for you 
Steps:
1.	Open Warba Online App
2.	Go to Services then Partners 
3.	Choose postshipper
4.	Choose Login / Sign up
5.	Enter the Email address 
6.	Enter the OTP that will send to your email
7.	Enter your name & phone number 
8.	Enter your address 
9.	Click on Sign Up "
Services,P&S,Warba Concierge,Request Warba Concierge:,"Warba Concierge : this service will allow you to request a driver to take you to the airport or pick you up from the airport to take you home.
Steps:
1.	Open Warba Online App
2.	Go to services then request 
3.	Choose Warba concierge 
4.	Select the request if it (to or from) airport 
5.	Enter flight number 
6.	Enter the date 
7.	Enter the time "
Digital Services,Digital Factory,Request Tab on Warba App,Request Clearance Certificate:,"Clearance Certificate : This service will allow you to request a Clearance Certificate from your branch  
Steps:
1.	Open Warba Online App
2.	Go to Services then Request 
3.	Choose Clearance Certificate
4.	Select pickup branch
5.	Enter reason for request 
6.	Enter note "
Digital Services,Digital Factory,Request Tab on Warba App,Request Travel Note:,"Travel Note : This service will allow you to make note that your travel in the date you select to make sure your cards will be active 
Steps:
1.	Open Warba Online App
2.	Go to Services then request 
3.	Choose Travel Note 
4.	Select the date for your travel note 
5.	Enter the Destination 
6.	Enter your email
7.	Enter your Mobile Number 
8.	Accept Terms & Conditions"
Digital Services,Digital Factory,Request Tab on Warba App,Request Clearing Company:,"Clearing company : This service will allow you to make all your profit stock deposit in your Warba account  
Steps:
1.	Open Warba Online App
2.	Go to services then Request 
3.	Choose Clearing Company
4.	Enter your Civil ID number "
Digital Services,Digital Factory,Pocket,,
